"ID","NOM","GP","GS","MIN","PTS","T1A","T1I","T2A","T2I","T3A","T3I","OREB","DREB","TREB","ASIS","REC","PER","FC","FR","PLUSMINUS","VAL","FGM","FGA","T1%","T2%","T3%","eFG%","TS%","poss_used","PPP","PTS_pg","MIN_pg","T1A_pg","T1I_pg","T2A_pg","T2I_pg","T3A_pg","T3I_pg","OREB_pg","DREB_pg","TREB_pg","ASIS_pg","REC_pg","PER_pg","FC_pg","FR_pg","TEAM","TEAM_id"
"2431194","A. DE JUAN PULIDO",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MCR LIMA-HORTA BARCELONA",981206
"2642945","B. CHASCO MASO",8,3,108.98,36,10,16,10,26,2,5,10,16,26,3,1,10,8,16,-86,40,12,31,0.62,0.38,0.4,0.42,0.47,48.04,0.75,4.5,13.62,1.25,2,1.25,3.25,0.25,0.62,1.25,2,3.25,0.38,0.12,1.25,1,2,"MCR LIMA-HORTA BARCELONA",981206
"2828941","K. CLARK",11,0,132.92,29,7,15,11,34,0,0,25,25,50,8,5,16,23,12,-70,34,11,34,0.47,0.32,NA,0.32,0.36,56.6,0.51,2.64,12.08,0.64,1.36,1,3.09,0,0,2.27,2.27,4.55,0.73,0.45,1.45,2.09,1.09,"MCR LIMA-HORTA BARCELONA",981206
"1242234","C. RODRIGUEZ NUÑEZ",15,14,502.85,159,30,49,60,92,3,13,39,78,117,23,11,28,17,49,-81,273,63,105,0.61,0.65,0.23,0.61,0.63,154.56,1.03,10.6,33.52,2,3.27,4,6.13,0.2,0.87,2.6,5.2,7.8,1.53,0.73,1.87,1.13,3.27,"SERNOVA RENOVABLES REAL CANOE",981288
"1745108","M. TORRES MUNICIO",14,12,347.12,182,34,61,53,98,14,49,11,53,64,13,12,38,36,51,-38,150,67,147,0.56,0.54,0.29,0.5,0.52,211.84,0.86,13,24.79,2.43,4.36,3.79,7,1,3.5,0.79,3.79,4.57,0.93,0.86,2.71,2.57,3.64,"SERNOVA RENOVABLES REAL CANOE",981288
"1787143","C. MATO DE PRADA",15,9,358.88,74,28,48,17,66,4,28,12,28,40,23,16,17,9,31,-51,65,21,94,0.58,0.26,0.14,0.24,0.32,132.12,0.56,4.93,23.93,1.87,3.2,1.13,4.4,0.27,1.87,0.8,1.87,2.67,1.53,1.07,1.13,0.6,2.07,"SERNOVA RENOVABLES REAL CANOE",981288
"1859345","L. FLETA ROBLES",15,5,319.87,107,17,24,27,69,12,50,8,26,34,15,9,27,14,26,-94,63,39,119,0.71,0.39,0.24,0.38,0.41,156.56,0.68,7.13,21.32,1.13,1.6,1.8,4.6,0.8,3.33,0.53,1.73,2.27,1,0.6,1.8,0.93,1.73,"SERNOVA RENOVABLES REAL CANOE",981288
"1927626","C. FLORES GARCIA",15,4,210.8,41,4,5,8,28,7,31,7,18,25,6,10,22,17,8,-39,7,15,59,0.8,0.29,0.23,0.31,0.33,83.2,0.49,2.73,14.05,0.27,0.33,0.53,1.87,0.47,2.07,0.47,1.2,1.67,0.4,0.67,1.47,1.13,0.53,"SERNOVA RENOVABLES REAL CANOE",981288
"2021397","A. ESNAL AGUIRRE",15,14,446.58,147,32,47,32,66,17,46,13,47,60,25,25,29,31,60,-54,179,49,112,0.68,0.48,0.37,0.51,0.55,161.68,0.91,9.8,29.77,2.13,3.13,2.13,4.4,1.13,3.07,0.87,3.13,4,1.67,1.67,1.93,2.07,4,"SERNOVA RENOVABLES REAL CANOE",981288
"2037982","M. NAGORE SANCHEZ",4,0,26.32,0,0,2,0,3,0,0,0,1,1,1,3,5,3,5,-5,-3,0,3,0,0,NA,0,0,8.88,0,0,6.58,0,0.5,0,0.75,0,0,0,0.25,0.25,0.25,0.75,1.25,0.75,1.25,"SERNOVA RENOVABLES REAL CANOE",981288
"2037982","M. NAGORE SÁNCHEZ",2,0,17.13,4,0,0,2,3,0,1,1,2,3,2,0,2,2,0,2,3,2,4,NA,0.67,0,0.5,0.5,6,0.67,2,8.56,0,0,1,1.5,0,0.5,0.5,1,1.5,1,0,1,1,0,"SERNOVA RENOVABLES REAL CANOE",981288
"2094827","N. FIGUEROA ALVAREZ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SERNOVA RENOVABLES REAL CANOE",981288
"2097038","P. DE MIER ESPINA",15,6,264.4,73,26,35,19,54,3,19,7,27,34,18,13,40,34,30,-11,38,22,73,0.74,0.35,0.16,0.32,0.41,128.4,0.57,4.87,17.63,1.73,2.33,1.27,3.6,0.2,1.27,0.47,1.8,2.27,1.2,0.87,2.67,2.27,2,"SERNOVA RENOVABLES REAL CANOE",981288
"2161390","N. CAÑIZARES GONZALEZ",2,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,-9,-1,0,0,NA,NA,NA,NA,NA,2,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,"SERNOVA RENOVABLES REAL CANOE",981288
"2185085","A. HERNANDEZ CASA",5,1,18.17,0,0,0,0,3,0,1,0,1,1,0,1,2,2,0,-12,-6,0,4,NA,0,0,0,0,6,0,0,3.63,0,0,0,0.6,0,0.2,0,0.2,0.2,0,0.2,0.4,0.4,0,"SERNOVA RENOVABLES REAL CANOE",981288
"2282044","L. SUAREZ GONZALEZ",2,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SERNOVA RENOVABLES REAL CANOE",981288
"2362540","A. PASTRANA BALLESTEROS",2,0,4.45,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,-3,1,1,1,NA,1,NA,1,1,2,1,1,2.22,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,"SERNOVA RENOVABLES REAL CANOE",981288
"2432516","C. DE SOUSA",12,8,301.15,67,7,10,15,41,10,40,7,38,45,7,9,12,30,15,-68,43,25,81,0.7,0.37,0.25,0.37,0.39,97.4,0.69,5.58,25.1,0.58,0.83,1.25,3.42,0.83,3.33,0.58,3.17,3.75,0.58,0.75,1,2.5,1.25,"SERNOVA RENOVABLES REAL CANOE",981288
"2506665","I. BAEZA DIEZ",1,0,16.1,2,0,2,1,2,0,0,5,2,7,3,0,2,3,2,5,6,1,2,0,0.5,NA,0.5,0.35,4.88,0.41,2,16.1,0,2,1,2,0,0,5,2,7,3,0,2,3,2,"SERNOVA RENOVABLES REAL CANOE",981288
"2818945","O. SANTANA MOLDAVSKY",15,2,161.72,33,5,7,11,27,2,12,4,20,24,12,4,13,19,8,-60,21,13,39,0.71,0.41,0.17,0.36,0.39,55.08,0.6,2.2,10.78,0.33,0.47,0.73,1.8,0.13,0.8,0.27,1.33,1.6,0.8,0.27,0.87,1.27,0.53,"SERNOVA RENOVABLES REAL CANOE",981288
"1522827","M. RECIO GONZALEZ",14,7,303.27,94,11,16,19,50,15,37,8,20,28,22,14,20,27,20,-85,73,34,87,0.69,0.38,0.41,0.48,0.5,114.04,0.82,6.71,21.66,0.79,1.14,1.36,3.57,1.07,2.64,0.57,1.43,2,1.57,1,1.43,1.93,1.43,"CAJASOL BALONCESTO SEVILLA FEMENINO",981306
"1679391","M. MARTINEZ CARRANZA",12,7,219.83,53,6,15,22,50,1,9,23,11,34,5,8,22,41,10,-57,3,23,59,0.4,0.44,0.11,0.4,0.4,87.6,0.61,4.42,18.32,0.5,1.25,1.83,4.17,0.08,0.75,1.92,0.92,2.83,0.42,0.67,1.83,3.42,0.83,"CAJASOL BALONCESTO SEVILLA FEMENINO",981306
"1695079","A. VENDRELL GIRBES",14,0,105.83,14,5,7,0,13,3,26,3,12,15,3,2,5,12,6,-54,-12,3,39,0.71,0,0.12,0.12,0.17,47.08,0.3,1,7.56,0.36,0.5,0,0.93,0.21,1.86,0.21,0.86,1.07,0.21,0.14,0.36,0.86,0.43,"CAJASOL BALONCESTO SEVILLA FEMENINO",981306
